Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
16, 15757, 521, 15236
16, 15616, 529, 15087
16, 15599, 546, 15053
16, 15652, 550, 15102
16, 15729, 583, 15146
16, 15452, 590, 14862
16, 15761, 593, 15168
16, 15740, 614, 15126
16, 15804, 614, 15190
16, 15582, 615, 14967
16, 15825, 623, 15202
16, 15666, 628, 15038
16, 15691, 632, 15059
16, 15511, 639, 14872
16, 15634, 643, 14991
16, 15607, 653, 14954
16, 15576, 657, 14919
16, 15559, 666, 14893
16, 15377, 670, 14707
16, 15513, 678, 14835
16, 14652, 742, 13910
16, 14591, 754, 13837
16, 14757, 807, 13950
16, 14629, 821, 13808
16, 14391, 830, 13561
16, 14588, 833, 13755
16, 14789, 835, 13954
16, 14720, 836, 13884
16, 14682, 837, 13845
16, 14762, 840, 13922
16, 14596, 841, 13755
16, 14838, 841, 13997
16, 14721, 842, 13879
16, 15591, 843, 14748
16, 14776, 844, 13932
16, 14710, 845, 13865
16, 14711, 845, 13866
16, 14730, 845, 13885
16, 14757, 846, 13911
16, 14681, 847, 13834
16, 14723, 847, 13876
16, 14766, 848, 13918
16, 14686, 849, 13837
16, 14798, 851, 13947
16, 14599, 852, 13747
16, 14796, 852, 13944
16, 14612, 853, 13759
16, 14682, 853, 13829
16, 14714, 854, 13860
16, 14722, 854, 13868
16, 14616, 855, 13761
16, 14721, 859, 13862
16, 14833, 859, 13974
16, 14639, 861, 13778
16, 14699, 862, 13837
16, 14803, 863, 13940
16, 14243, 864, 13379
16, 14749, 864, 13885
16, 14643, 865, 13778
16, 14286, 867, 13419
16, 14716, 868, 13848
16, 14797, 868, 13929
16, 14679, 870, 13809
16, 14244, 874, 13370
16, 14293, 875, 13418
16, 14378, 875, 13503
16, 14642, 875, 13767
16, 14364, 876, 13488
16, 14207, 878, 13329
16, 14356, 878, 13478
16, 14269, 883, 13386
16, 14273, 885, 13388
16, 14165, 887, 13278
16, 14253, 889, 13364
16, 14327, 889, 13438
16, 15431, 889, 14542
16, 14096, 890, 13206
16, 14260, 893, 13367
16, 15539, 895, 14644
16, 14235, 896, 13339
16, 14338, 902, 13436
16, 14563, 902, 13661
16, 15459, 904, 14555
16, 14196, 907, 13289
16, 14777, 908, 13869
16, 14831, 909, 13922
16, 15474, 911, 14563
16, 14279, 914, 13365
16, 14210, 918, 13292
16, 14596, 921, 13675
16, 15176, 921, 14255
16, 14285, 924, 13361
16, 15314, 924, 14390
16, 14625, 929, 13696
16, 15442, 931, 14511
16, 14159, 932, 13227
16, 14342, 932, 13410
16, 14680, 934, 13746
16, 15539, 936, 14603
16, 14265, 937, 13328
16, 14461, 937, 13524
16, 14332, 938, 13394
16, 14309, 939, 13370
16, 14711, 940, 13771
16, 14185, 941, 13244
16, 14230, 942, 13288
16, 14411, 942, 13469
16, 14265, 943, 13322
16, 14370, 943, 13427
16, 14377, 943, 13434
16, 15053, 944, 14109
16, 14368, 947, 13421
16, 15311, 948, 14363
16, 14789, 949, 13840
16, 15055, 950, 14105
16, 14651, 956, 13695
16, 15079, 961, 14118
16, 15004, 962, 14042
16, 14339, 964, 13375
16, 14847, 964, 13883
16, 14388, 965, 13423
16, 14371, 966, 13405
16, 14391, 966, 13425
16, 14346, 971, 13375
16, 14921, 973, 13948
16, 14745, 976, 13769
16, 14287, 977, 13310
16, 14824, 977, 13847
16, 14688, 978, 13710
16, 14649, 980, 13669
16, 14593, 984, 13609
16, 14770, 985, 13785
16, 14967, 985, 13982
16, 14972, 986, 13986
16, 15101, 988, 14113
16, 14248, 991, 13257
16, 14705, 993, 13712
16, 15005, 994, 14011
16, 14693, 995, 13698
16, 14816, 1000, 13816
16, 14098, 1008, 13090
16, 14266, 1052, 13214
16, 14537, 1099, 13438
16, 14597, 1125, 13472
16, 14963, 1133, 13830
16, 14727, 1158, 13569
16, 14265, 1180, 13085
16, 14941, 1194, 13747
16, 14558, 1201, 13357
16, 14752, 1238, 13514
16, 14527, 1244, 13283
16, 14636, 1268, 13368
16, 14555, 1283, 13272
16, 14666, 1305, 13361
16, 14791, 1311, 13480
16, 14316, 1327, 12989
16, 14544, 1331, 13213
16, 14543, 1367, 13176

512, 17667, 471, 17196
512, 18257, 505, 17752
512, 18235, 512, 17723
512, 16850, 581, 16269
512, 17092, 599, 16493
512, 16149, 682, 15467
512, 19829, 4774, 15055
512, 17893, 5165, 12728
512, 13849, 6188, 7661
512, 13828, 6712, 7116
512, 15934, 6719, 9215
512, 20429, 6950, 13479
512, 20968, 7177, 13791
512, 21125, 7204, 13921
512, 21198, 7404, 13794
512, 21967, 7489, 14478
512, 17893, 7735, 10158
512, 21547, 7837, 13710
512, 21316, 7854, 13462
512, 20131, 7893, 12238
512, 21794, 7978, 13816
512, 21868, 8055, 13813
512, 9147, 8058, 1089
512, 21316, 8108, 13208
512, 21457, 8113, 13344
512, 21364, 8127, 13237
512, 21668, 8188, 13480
512, 21274, 8267, 13007
512, 21500, 8318, 13182
512, 20648, 8336, 12312
512, 22118, 8336, 13782
512, 21309, 8376, 12933
512, 20955, 8378, 12577
512, 21059, 8428, 12631
512, 20936, 8432, 12504
512, 22016, 8545, 13471
512, 22053, 8608, 13445
512, 21587, 8614, 12973
512, 21048, 8661, 12387
512, 21187, 8665, 12522
512, 21510, 8703, 12807
512, 22100, 8713, 13387
512, 21414, 8719, 12695
512, 21357, 8745, 12612
512, 20897, 8746, 12151
512, 20666, 8799, 11867
512, 22038, 8812, 13226
512, 20985, 8858, 12127
512, 21665, 8859, 12806
512, 21830, 8957, 12873
512, 21882, 8967, 12915
512, 21722, 9013, 12709
512, 21001, 9043, 11958
512, 17633, 9069, 8564
512, 21762, 9085, 12677
512, 21233, 9104, 12129
512, 21016, 9185, 11831
512, 21948, 9217, 12731
512, 20428, 9251, 11177
512, 21232, 9290, 11942
512, 21108, 9348, 11760
512, 20771, 9400, 11371
512, 21591, 9476, 12115
512, 21972, 9542, 12430
512, 21994, 9543, 12451
512, 20790, 9546, 11244
512, 20798, 9568, 11230
512, 22002, 9786, 12216
512, 22449, 9856, 12593
512, 21947, 9890, 12057
512, 21623, 9986, 11637
512, 21996, 10071, 11925

4096, 23131, 23131, 0
4096, 23131, 23131, 0

8192, 8708, 2050, 6658
8192, 11999, 3707, 8292
8192, 9684, 4264, 5420
8192, 10940, 4647, 6293
8192, 15564, 4873, 10691
8192, 15750, 4918, 10832
8192, 15827, 4921, 10906
8192, 15809, 4933, 10876
8192, 15731, 4935, 10796
8192, 15740, 4939, 10801
8192, 15729, 4944, 10785
8192, 15839, 4953, 10886
8192, 15660, 4975, 10685
8192, 15873, 4997, 10876
8192, 15827, 4999, 10828
8192, 15904, 5012, 10892
8192, 15830, 5021, 10809
8192, 15893, 5022, 10871
8192, 15645, 5028, 10617
8192, 15677, 5038, 10639
8192, 15659, 5041, 10618
8192, 15807, 5064, 10743
8192, 15770, 5067, 10703
8192, 15576, 5070, 10506
8192, 15707, 5083, 10624
8192, 15985, 5084, 10901
8192, 15513, 5088, 10425
8192, 15908, 5094, 10814
8192, 15963, 5109, 10854
8192, 16062, 5111, 10951
8192, 16080, 5120, 10960
8192, 15936, 5133, 10803
8192, 15797, 5135, 10662
8192, 15877, 5141, 10736
8192, 15927, 5166, 10761
8192, 15587, 5171, 10416
8192, 16016, 5182, 10834
8192, 15946, 5184, 10762
8192, 15823, 5188, 10635
8192, 15603, 5195, 10408
8192, 16229, 5202, 11027
8192, 15745, 5206, 10539
8192, 15591, 5217, 10374
8192, 15994, 5245, 10749
8192, 12086, 5246, 6840
8192, 15880, 5246, 10634
8192, 15886, 5247, 10639
8192, 15427, 5254, 10173
8192, 15759, 5260, 10499
8192, 15995, 5274, 10721
8192, 15780, 5275, 10505
8192, 15964, 5276, 10688
8192, 14020, 5288, 8732
8192, 14992, 5307, 9685
8192, 15962, 5307, 10655
8192, 15600, 5341, 10259
8192, 15219, 5372, 9847
8192, 15875, 5375, 10500
8192, 15225, 5392, 9833
8192, 15609, 5398, 10211
8192, 15764, 5437, 10327
8192, 15727, 5457, 10270
8192, 15837, 5461, 10376
8192, 16022, 5461, 10561
8192, 14337, 5464, 8873
8192, 16094, 5528, 10566
8192, 15373, 5547, 9826
8192, 15855, 5562, 10293
8192, 15062, 5563, 9499
8192, 16424, 5585, 10839
8192, 16054, 5591, 10463
8192, 13808, 5606, 8202
8192, 15616, 5623, 9993
8192, 15199, 5628, 9571
8192, 14689, 5629, 9060
8192, 15758, 5639, 10119
8192, 15672, 5645, 10027
8192, 11911, 5646, 6265
8192, 14251, 5656, 8595
8192, 14658, 5662, 8996
8192, 15864, 5669, 10195
8192, 15486, 5670, 9816
8192, 15764, 5688, 10076
8192, 15559, 5700, 9859
8192, 15157, 5701, 9456
8192, 15607, 5701, 9906
8192, 15410, 5717, 9693
8192, 15465, 5717, 9748
8192, 14849, 5719, 9130
8192, 16227, 5739, 10488
8192, 16819, 5745, 11074
8192, 15777, 5764, 10013
8192, 15936, 5764, 10172
8192, 15737, 5774, 9963
8192, 15253, 5781, 9472
8192, 15454, 5794, 9660
8192, 15791, 5794, 9997
8192, 15771, 5802, 9969
8192, 15732, 5803, 9929
8192, 16398, 5803, 10595
8192, 15626, 5804, 9822
8192, 16004, 5818, 10186
8192, 15897, 5822, 10075
8192, 15792, 5834, 9958
8192, 15811, 5834, 9977
8192, 14770, 5835, 8935
8192, 15957, 5836, 10121
8192, 15971, 5840, 10131
8192, 16054, 5843, 10211
8192, 14553, 5854, 8699
8192, 16043, 5854, 10189
8192, 15804, 5856, 9948
8192, 14798, 5864, 8934
8192, 15748, 5865, 9883
8192, 14491, 5872, 8619
8192, 16315, 5872, 10443
8192, 15404, 5873, 9531
8192, 16259, 5874, 10385
8192, 13939, 5881, 8058
8192, 15679, 5883, 9796
8192, 14542, 5885, 8657
8192, 16187, 5887, 10300
8192, 16629, 5889, 10740
8192, 13915, 5893, 8022
8192, 15302, 5893, 9409
8192, 15916, 5894, 10022
8192, 13568, 5895, 7673
8192, 14343, 5896, 8447
8192, 15824, 5900, 9924
8192, 16512, 5900, 10612
8192, 15651, 5902, 9749
8192, 16078, 5915, 10163
8192, 13898, 5916, 7982
8192, 15671, 5917, 9754
8192, 15932, 5917, 10015
8192, 16000, 5920, 10080
8192, 16228, 5920, 10308
8192, 16072, 5925, 10147
8192, 16038, 5928, 10110
8192, 16069, 5930, 10139
8192, 15188, 5933, 9255
8192, 15437, 5934, 9503
8192, 15643, 5936, 9707
8192, 15822, 5936, 9886
8192, 16097, 5938, 10159
8192, 15720, 5943, 9777
8192, 15136, 5946, 9190
8192, 15419, 5946, 9473
8192, 15754, 5946, 9808
8192, 15533, 5949, 9584
8192, 15480, 5952, 9528
8192, 15852, 5957, 9895
8192, 14826, 5959, 8867
8192, 15899, 5963, 9936
8192, 16272, 5963, 10309
8192, 16129, 5965, 10164
8192, 15902, 5971, 9931
8192, 15891, 5972, 9919
8192, 16500, 5973, 10527
8192, 15841, 5975, 9866
8192, 16434, 5977, 10457
8192, 15642, 5978, 9664
8192, 16674, 5983, 10691
8192, 15152, 5984, 9168
8192, 16214, 5985, 10229
8192, 14891, 5986, 8905
8192, 15888, 5990, 9898
8192, 16118, 5993, 10125
8192, 16074, 5994, 10080
8192, 15675, 5996, 9679
8192, 15149, 6000, 9149
8192, 14242, 6006, 8236
8192, 15527, 6007, 9520
8192, 16068, 6014, 10054
8192, 16231, 6019, 10212
8192, 15430, 6022, 9408
8192, 16008, 6024, 9984
8192, 15371, 6026, 9345
8192, 16372, 6027, 10345
8192, 16436, 6028, 10408
8192, 16341, 6029, 10312
8192, 15915, 6031, 9884
8192, 15606, 6037, 9569
8192, 16244, 6037, 10207
8192, 15678, 6041, 9637
8192, 16173, 6044, 10129
8192, 16369, 6045, 10324
8192, 14474, 6046, 8428
8192, 15539, 6048, 9491
8192, 16304, 6048, 10256
8192, 16695, 6049, 10646
8192, 15541, 6053, 9488
8192, 15825, 6054, 9771
8192, 14952, 6060, 8892
8192, 15652, 6060, 9592
8192, 14360, 6063, 8297
8192, 14805, 6064, 8741
8192, 15265, 6064, 9201
8192, 15983, 6068, 9915
8192, 16254, 6078, 10176
8192, 16289, 6078, 10211
8192, 15967, 6079, 9888
8192, 16096, 6081, 10015
8192, 15938, 6087, 9851
8192, 14866, 6089, 8777
8192, 16091, 6095, 9996
8192, 16136, 6095, 10041
8192, 16231, 6098, 10133
8192, 16168, 6099, 10069
8192, 16135, 6100, 10035
8192, 14746, 6103, 8643
8192, 16188, 6103, 10085
8192, 13429, 6104, 7325
8192, 15907, 6105, 9802
8192, 15690, 6107, 9583
8192, 14735, 6111, 8624
8192, 16219, 6113, 10106
8192, 15901, 6121, 9780
8192, 16250, 6124, 10126
8192, 23809, 6126, 17683
8192, 15841, 6129, 9712
8192, 15913, 6131, 9782
8192, 16010, 6134, 9876
8192, 16714, 6135, 10579
8192, 16356, 6136, 10220
8192, 14719, 6137, 8582
8192, 16115, 6140, 9975
8192, 15646, 6141, 9505
8192, 16164, 6141, 10023
8192, 16319, 6142, 10177
8192, 16192, 6146, 10046
8192, 16853, 6146, 10707
8192, 16393, 6152, 10241
8192, 15840, 6153, 9687
8192, 15752, 6162, 9590
8192, 16449, 6164, 10285
8192, 14600, 6168, 8432
8192, 14399, 6173, 8226
8192, 14064, 6174, 7890
8192, 15993, 6176, 9817
8192, 15854, 6182, 9672
8192, 15977, 6184, 9793
8192, 16352, 6184, 10168
8192, 15927, 6187, 9740
8192, 16212, 6189, 10023
8192, 16287, 6190, 10097
8192, 16052, 6191, 9861
8192, 13663, 6193, 7470
8192, 15812, 6194, 9618
8192, 15265, 6196, 9069
8192, 16295, 6197, 10098
8192, 14719, 6200, 8519
8192, 15896, 6203, 9693
8192, 15061, 6205, 8856
8192, 15133, 6205, 8928
8192, 15265, 6207, 9058
8192, 14930, 6212, 8718
8192, 13347, 6214, 7133
8192, 15029, 6222, 8807
8192, 16332, 6226, 10106
8192, 15860, 6227, 9633
8192, 16220, 6229, 9991
8192, 13852, 6230, 7622
8192, 16183, 6234, 9949
8192, 16510, 6237, 10273
8192, 15101, 6240, 8861
8192, 14650, 6242, 8408
8192, 16021, 6243, 9778
8192, 14182, 6247, 7935
8192, 14673, 6250, 8423
8192, 15745, 6253, 9492
